username,rating,language,title,review_text,date,country,sentiment,summary,sentiment_clean
Edward S Mork,1,en,Who's in of such a poor customer service,"My experience is based on nearly 10 contacts over a long period--
1) it takes forever to get anybody to pick up the phone- several times after 10 minutes, you just give up and hang up- this happens all the time
2) today, called for a possible false Keytrade communication received.Ended up being screamed at because  after having identified  myself name,birthdate,birthplace, address  and giving 3 of my portefolio stocks I was asked for my last transaction done which I could not recall!
3) Keytrade app is very non- intuitive and difficult to use- even after years of use , not easy.Compared to Charles Schwab which I also have it's night vs day

NET NET--Awful customer approach and always slow , ineffective  and NOT pleasant.",2024-07-11,BE,Negative,"The customer's experience is frustrating due to slow response times, a poorly designed application, and negative interactions.",Negative
Anette,1,en,Not recommended,"A Kafkaesque experience. Endless loops, nonintuitive, arrogant customer service. I'm out.",2024-07-03,BE,Negative,"The customer had a negative experience due to what they described as an ""endless loops,"" nonintuitive, and arrogant customer service. They expressed their frustration by saying, ""I'm out.""",Negative
Malek Kahri,5,en,using Keytrade bank for more than 3…,"using Keytrade bank for more than 3 years now , with Visa Gold , all free of any kind of charge since i do more than 12 transactionS per year.
i called customer service to have a higher visa limit because of upcoming travel to the US and they did this within 2 days after providing some documents , very smooth and easy .
very satisfied with the service .
if you guys can add Instant payments and Itsme you will be the best bank in Belgium .",2024-06-21,DE,1. **Sentiment:** Positive,"2. **Summary:** The customer is highly satisfied with Keytrade Bank due to its extensive services, including Visa Gold and free transactions for over a decade, smooth customer service response, and an offer of Instant payments that they believe would enhance their banking experience further.",Positive
Maxence Snoy,1,en,And the worth online customer…,"And the worth online customer experience ever created online goes to...
Full of bugs, loops and other painful experiences. Just avoid these guys, they simply should disappear from the market.. sorry",2024-06-12,BE,N/A,N/A,N/a
Frederik Ceyssens,5,en,Helpdesk by email.,"There was an issue regarding a stock split, but I got an answer by email within 12 hours. It looks like they have improved their customer service again after a bad period.",2024-06-11,BE,Positive,The customer expressed satisfaction with the quick response to their issue and noted improvements in customer service.,Positive
Michel,5,en,Simple et efficace,"Simple, efficace",2024-05-31,BE,Positive,Simple and effective.,Positive
Emma,5,en,Good Company,"Good Company, nice service! ",2024-05-18,BE,Positive,"Good Company, nice service!",Positive
Tom Suykens,1,en,Bank that is not reachable.,"Bank that is not reachable.
Use of very dirty tactics like messing with the music on the waiting queue (distorted sound), and keep you ages on the line.",2024-04-12,BE,Negative,The customer had a negative experience with the bank due to being unable to communicate and disruptive tactics used during the waiting queue.,Negative
Erik Verdeyen,1,en,An online bank with no online service,An online bank with no response to online requests. Took over 10 months to regain access to my account. E-mails remain unanswered and phone calls get the same generic response. Only after threatening to get federal banking authorities involved was there action. Stay away!,2024-04-09,US,Negative,"The customer is highly dissatisfied with the online bank's response to their requests, taking over a year for account access recovery, and they feel ignored by both email and phone communications. They threaten legal action if their concerns are not addressed, advising others to avoid this bank.",Negative
Vincent Rombaut,1,en,Blocking of account ... no info,"When these guys block your account without telling you what is the issue it becomes a big challenge. Called and on the phone they said ""some"" documents missing, could not answer which ones. Submitted by email and no action one week later. Bad customer service.",2024-03-26,BG,1. **Sentiment:** Negative,"2. **Summary:** The customer had a bad experience with the service due to being blocked without clear information about the issue and receiving no action for several weeks, leading to dissatisfaction.",Negative
No,3,en,Account blocked ,"I really like this bank but blocking my account for over a week i called multiple times asking support if they can see the reason for the blocked account they are unable to see i emailed them multiple times received an email from them saying my complaint was forwarded to the right department and but im yet able to do anything .

",2024-03-26,BE,Positive,The customer expresses satisfaction with their banking experience at the bank despite facing a temporary issue.,Positive
Steve Lamarra,1,en,No communication or transparency,"I relocated from Belgium and was forced to close my account despite providing all the requested documentation. This was done with no prior warning, and 7 months after i submitted all identification documents. impossible to speak to someone in charge of the file and Keytrade refused to provide any explanation/detail why. 
Awful service - stay well away from this bank, there are plenty of better options",2024-01-31,CH,Negative,"The customer had a very poor experience with Keytrade Bank. They were forced to close their account without warning and faced difficulties in contacting support. As a result, the reviewer strongly advises others not to use this bank.",Negative
I.p.,2,en,Very poor banking,"Very poor banking. I went to Keytrade because it has a free banking niche. oh how I regret this. a lot of detours to get everything installed. payconic still hasn't worked. the website crashes very often, meaning you cannot do what is necessary. Customer service is also extremely slow in answering emails. Very difficult as this would be the only ""smooth"" way of communicating. I have only been a customer for a few months, but I am so annoyed by this bank that I am immediately switching to another one.",2024-01-29,BE,Negative,"The customer is dissatisfied with Keytrade's banking service, describing multiple issues such as difficulties installing services, ongoing problems with PayConic, frequent website crashes, slow customer service response times, and expressing a strong intention to switch to another bank.",Negative
Cyril,2,en,It took me 6 weeks to get access back…,"It took me 6 weeks to get access back to my account. Extremely slow client administration service. They have the wrong birth date in the system, I sent my passport again 6 week ago, still not changed. ""They have a lot of work"" (well, so get a lot of people to do it !).

Transactions costs are also quite high (20 times more than IB).",2024-01-16,ES,Negative,"The customer is dissatisfied with their slow account access and administrative service, as well as high transaction costs.",Negative
Xavier De Vos,1,en,Keytradebank : stay away,I can only acknowledge the recent negative experiences of other users recently posted. I can't get access to my account (while this previously worked). The phone number simply keeps you on the hook for hours and the weblink suggested by a certain Véronique give absurd results (or loops),2023-12-12,BE,Negative,The customer expresses dissatisfaction with recent negative experiences and frustration over issues like account access and unhelpful phone numbers.,Negative
hemsay,1,en,Service far below zero,I have now filed 4 identical complaints to Keytrade in 4 weeks. I am paying for a regular update of my portfolio; however for a fund in which I invested the present value is not updated since 5 weeks ago.,2023-12-09,BE,Negative,The customer is expressing dissatisfaction with Keytrade due to delays in updating their portfolio and has filed multiple complaints. They are expecting a regular update but have been repeatedly denied.,Negative
client ravi,5,en,Simple et direct,Simple et direct,2023-10-28,BE,Positive,Simple and direct.,Positive
Freddy,5,en,Application simple à utiliser et c'est…,Application simple à utiliser et c'est vrai que l'on reçoit 5cents par transaction,2023-10-28,BE,Positive,The application is simple to use and provides a good discount of 5 cents per transaction.,Positive
RYHON René,4,en,Canal de communication direct,"Canal de communication direct, fiable et efficace !",2023-10-27,BE,Positive,The customer is satisfied with the Canal de Communication Direct.,Positive
Stephanie Lemmers,3,en,ok - would recommend,"Ok. Nice checking account.

Trading view is limited. 
Autpilor investing is good, but with other cheaper brokers you have a better deal by investing also some time..",2023-10-19,BE,Neutral,"The customer has a positive experience with the checking account and trading view, but finds that their autopilolo system for investing is better when dealing with cheaper brokers.",Neutral
S.,5,en,"Services, site, informations","Services, site, informations",2023-10-09,BE,Neutral,"The customer is evaluating services, site, and information.",Neutral
Philippe,5,en,parfait parfait,parfait parfait,2023-09-25,BE,Positive,Perfect,Positive
G  Jacobs,5,en,efficiente website en app,efficiente website en app. Prima bank,2023-09-21,BE,Positive,The customer seems satisfied with both the website and app of Prima Bank.,Positive
Paul Falaise,5,en,Super app - banking at no cost,Super app and there is really no other bank that offers its banking services at no cost and pays 5 cent per payment transaction!,2023-09-06,BE,Positive,The customer is highly satisfied with the app and finds that their bank offers no-cost banking services and pays only a small transaction fee.,Positive
PIERRE COHEUR,5,en,Really happy with Keytrade Bank,Really happy with Keytrade Bank. Very simple and easy use products and you get some money at each bank transactions. No recurrent fee for your bank account.,2023-08-31,BE,N/A,"2. **Summary**: ""Really happy with Keytrade Bank. Very simple and easy use products and you get some money at each bank transaction. No recurrent fee for your bank account.""",N/a
Jan Van Oosterwyck,1,en,"card blocked,no rental car","card was suddenly blocked by supposedly 3 wrong attempts, but that was absolutely not my fault.  Payment made 14 days before with that code without a problem.  answer from helpdesk (after waiting 20,30,20 minutes on the phone): card is unblocked but can only become active again in Belgium.  there you are at the airport of faro in Portugal without being able to receive your reserved rental car.",2023-08-28,BE,**Sentiment:** Negative,"**Summary:** The customer had their card blocked by three incorrect attempts, which they attribute to something not their fault. Despite a payment made 14 days before the issue, the assistance received from the helpdesk was unsatisfactory; the card remains active only in Belgium but cannot be used at the airport of Faro in Portugal, where their rental car is reserved.",Negative
CC,4,en,Good app and easy to use,So far I'm happy with the service I receive with Keytrade bank. The app is good and user-friendly!,2023-08-14,BE,Positive,The customer is happy with the service received from Keytrade bank and finds the app good and user-friendly.,Positive
Jello Boost,1,en,The only they do is steal away your money,"This bank clearly shows how banks are the biggest scammers in the economy. First they steal away thousands of euros in conversion fees from moving money from your 'current' to 'trading account', they just don't respond on messages being sent, the only thing you get they would respond in 2-4 weeks time but they never do and today I noticed a negative balance of about 110 EUR on the trading account while that balance was 0 EUR. I am moving away my money immediately and I suggest everyone to stay away from these scammers. NOT RECOMMENDED AT ALL!",2023-07-09,BE,Negative,"The customer is highly dissatisfied with their banking experience at the bank, criticizing the bank's lack of responsiveness and negative balance issues. They advise others to stay away from this bank and recommend not using it.",Negative
Martine Martel,1,en,In breach of art 8 of ECHR,"Keytrade bank compliance, in addition to requesting source of funds in accordance with AML directives ( which I always provided) required that I sent them a copy of all my bank transactions over the past 18 months at another bank. When I refused on the basis that their request is unnecessary and a disproportionate intrusion into my private and family life ( article 8 of ECHR) Keytrade notified me that they are closing all my accounts and that no explanation is necessary. This is abusive and in breach of  art 8 of ECHR and causes me tremendous distress.",2023-07-01,MC,Negative,"The customer experienced an abusive action from Keytrade Bank, leading to the closure of all accounts without a proper explanation. They also expressed significant distress due to this breach of rights.",Negative
Simon Lambert,1,en,By far the worst app/bank on the market.,"By far the worst app on the market.

I'm stuck with Keytrade since I've my loan with them but i would advice anyone to not use their services. You cant call them, you spent 1 hour in the queue to have someone on the phone and you never get anybody. All the Bancontact system is trash, works half the time. Money is debited from account without arriving to the Marchand, it takes moth to get back the money. Worst bank and mobile app ever created. When you contact them by email with a question, they answer you as if you were the stupidest human alive.",2023-06-19,BE,Negative,"The customer is highly dissatisfied with Keytrade and Bancontact systems due to poor service, long queues, and delays in communication. They consider Keytrade the worst app and mobile bank ever created.",Negative
Alexander Krainz,2,en,Account since 1998 and starting to wonder why I'm still,I'm account since 1998 at the time the bank was still one of the first online brokers in Belgium. Back than it was called Van Moer Santerre. The platform for trading was one of the few in the Benelux and worked like a charm. Taken over by Crédit Mutuel Arkéa everything went (or most of it) went South. Especially customer assistance is at lowest quality level since they started out in the 90s. I'm still here for the trading platform while even pretty exotic derivatives can be trade (and this without to have to beg to create the equity). Probably the reason why trading is expensive. Meanwhile the platform is outdated at least for one reason; modifying a pending order is NOT possible. One needs to cancel it first and enter it renewed with the needed modified conditions.,2023-06-08,BE,Negative,"The customer is unhappy with the bank's recent changes and issues regarding customer support. They find the trading platform outdated, particularly concerning the inability to modify pending orders.",Negative
Henri Vandermeersch,1,en,no more access to my accounts,"no more access to my accounts - no response to mails, waited more than 30min to get someone on the phone - no one picked up",2023-06-06,BE,Negative,"The customer is dissatisfied due to the lack of access to their accounts, no response to emails or phone calls, and a long wait time.",Negative
Christophe,2,en,Problem with VISA card and funds,I'm customer to Keytrade for around 3 years and it was fine until this year (2023) when I got money taken out of my VISA card without authorisation. I followed their procedure to get the money back but I never had it back. Customer service can't help and they don't give the money back and you can't contact VISA yourself. I've had to go to mediator. Trading stocks is costly. A lot of small IT problems. Benefits when doing transactions are great though.,2023-06-02,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had a bad experience with Keytrade, facing unauthorized ATM withdrawals and dissatisfied with customer service, leading to the need for mediation. They also mentioned small IT issues affecting their trading costs but noted benefits in transactions.",Negative
Christopher Derycke,1,en,"Plenty of errors, problems & no customer support","The website and app often give errors not allowing you to buy or sell stock.
Customer service does not exist.
After selling a stock or cancelling an order it takes ages before you can use the money which should have become available again.
Trying to transfer money from Keytrade to your own account is a mess and the site often gives an error that insufficient funds are available while there are plenty of funds.",2023-05-13,BE,Negative,"The customer is highly dissatisfied with the website and app due to frequent errors preventing them from buying or selling stock, long waiting times for refunds after transactions, and issues transferring money that should have been available.",Negative
Jessica B,1,en,Worst bank ever,"Worst bank ever. Customer support is terrible – not providing any solution. And even giving wrong information. 

I had to call them many times because my cards (credit and debit) were surprisingly blocked after a trip to Canada. It took me 5 calls to unlock them. And then suddenly, the same day, both of them were locked AGAIN. Customer service was then explaining to me how to remember my PIN code !!!!!

As a result, I move abroad without any payment method. But don't worry, they'll send the replacement card in 10days, in BELGIUM !!!!!",2023-04-28,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had a very negative experience with the bank, including poor customer support and frustrating issues with card access and account protection. As a result, they have decided to move abroad without using their payment methods, but the bank is offering to send a replacement within 10 days.",Negative
Fred Han,2,en,Poor customer service,"Poor customer service at its best..
Went trough all the identification questions correctly.
Last questions was ""when did you log in the last time?"" Living abroad and not using the mobile app much, I couldn't reply the exact DATE... 
I didn't pass the identification and have to go through a bunch of additional requests by email",2023-04-20,KR,Negative,The customer had a poor experience due to incorrect identification and additional email requests.,Negative
Valéry Derbaudrenghien,1,en,Worst online bank in history,"Worst online bank in history, nothing works, contacting them is useless, certain operations are done without any confirmation or anything, etc. For example to close your Keyplan (funds plan) you can't do it online, you need to send an email and then... no idea when it's closed, at what prices, and the whole history disappears from the website so you can't properly fill in your compliance report. My latest problem: I need to do an urgent wire transfer and the site says it's done but then... the money is still there and no transfer is showing. Second time I try and same result. Then now after doing such an operation, the website tends to freeze and there's nothing you can do but log back in. When I changed my Keyplan, the new composition still included an old fund, nobody noticed, I told them and they had no solution, nothing, it's total emptiness, probably only clueless people still work there. Remove your money quickly, if you even manage, and I would say close your account but that probably requires letters and faxes and takes weeks without knowing what's going on. I hope the authorities raid them and expose this fraud of a bank.",2023-03-22,HK,1. Negative,"2. The customer is extremely dissatisfied with the online bank due to issues like account closure problems, lack of confirmation for operations, and unexpected discrepancies in transactions.",Negative
Rumi Sakurai,1,en,Don't bother opening an account,"I followed the procedure to open an account online in November 2022. We're March 2023 and I'm still waiting... I did get a mail from them in January to which I replied immediately. I sent them a mail last week to get a status.. Still waiting for a non-automated reply..
It's quite possible that they are overwhelmed and understaffed but this is getting ridiculous.",2023-03-07,BE,Negative,The customer is frustrated due to extended wait times and unresponsive service.,Negative
jdoran,2,en,Do not support ITSME and their own logon takes weeks,"Why on earth do you not support logon via ITSME like every other bank and insurance company in Belgium??

I would trade so much more (generating revenue for you) if it was easier and safer to log on.
 
I do not want to have to use your specific hardkey or app to confirm my login - I do not trust it, and it is a pain to activate because it takes you weeks to answer password reset requests.",2023-01-08,BE,Negative,"The customer is dissatisfied with the bank's logon process and the lack of a secure authentication method. They express frustration with using ITSME and prefer easier, safer login options but also criticize the lengthy password resets.",Negative
Alex,1,en,Support & continuity of apps,"App renew: contact helpdesk will take you like 4 weeks. before you have all instructions and data to re-install.
They kindly give you a hardkey later on, but impossible to install following there instructions....
So bad app and support.",2022-12-31,BE,Negative,"The customer is highly dissatisfied with the app's functionality and support. They experienced delays and were unable to follow instructions for re-installation, leading to a poor experience overall.",Negative
C.Vanve,1,en,Where is the one-star for this joke of…,"Where is the one-star for this joke of a bank ? It hurts me to put one-star to this. I had one simple thing to do : change my adress, correct a problem with my connection or else an old pennystock was going to cost me. 
It's been more than a month that we are trying to solve this. By email they tell you any enquiry will take 4 weeks to answer (I have the mail). They send you automatic mail to press you to connect or pay more. And nothing. You can't have them on the phone, you write them letter it takes 3 weeks to come back, they barely answer emails. Then you receive something and the process is so precise that anything you do put you back to square one, you have no margin for behavioral error and you can't see them, you can't talk to someone. 
No idea how much this will cost me but this is a joke, this is not a bank, this is an orgnization of insane IT people designing process that only works for them. 
I'm almost laughing, I was asking for such a simple thing and it's not close from being over. You will never gonna get them on the phone and they ask you to call them asap. 
Just terrible, just terrible.",2022-12-26,BE,Negative,"The customer had a frustrating banking experience due to slow response times, unclear instructions, and frustration with communication and service quality.",Negative
Andre Spithoven,1,en,This bank uses old-fashioned software…,This bank uses old-fashioned software and doesn't respond quickly to emails. Very sloppy way of doing business.,2022-11-03,FR,Negative,The customer is dissatisfied with the bank's outdated software and lack of responsiveness to emails. They describe the business process as sloppy.,Negative
Dhr. Bernard Noyez,1,en,Impossible service,"Impossible service. Probably call center where there is a big difference in quality of the service you get ...from very willing to help to flat out terrible. Always other people on the phone, who say they will send your request to ""the appropriate administrative service desk"" , that after 6  weeks of waiting and 4 calls simply don't send the necessary information. They can't even tell you to what address they eventually will send your information. If you are in need of professional and speedy help, please please please go somewhere else, because keytrades service is one big frustration...",2022-10-11,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is highly dissatisfied with the service, describing it as ""impossible"" and ""terrible."" They express frustration with the inability to receive timely responses and clear instructions from the company's support team.",Negative
igor pepin,1,en,Very bad it is not possible,"I confirm, very bad service.  An internet bank that sends you PDFs, no follow-up the person who answers your email is different each time and does not provide any follow-up to your requests.  After more than 2 years of explaining to ask for a better credit card and stipulating that the account is only in my name, it blocks everything, despite the fact that my wife is not a co-holder and has never received  a soft or hard key .... but each speaker asks again to explain everything.  each but is read by a person so it is the snake that kills its tail.  the only positive point with this bank is that we are happy to leave it and even then... you have to follow up to get confirmation.",2022-07-21,TR,Negative,The customer is expressing dissatisfaction with poor service and frustrating experiences related to account management.,Negative
Chris,5,en,Autonomy and customer services,"Customer services respond fast by mail or by phone and they give you the best answer. It's free and you get a little something for each transaction. You have app for phone, tablet and a website. as a young person who work for 10 years and who is at ease with technology is perfect because you have a great deal of autonomy.",2022-07-18,BE,Positive,"The customer has a positive experience with fast and helpful service, including free options and a user-friendly interface. They also appreciate the autonomy provided to young professionals.",Positive
Mich Tro,1,en,Requested the keypack including a…,"Requested the keypack including a credit card a few weeks ago. Have followed up 3 times over email but have not heard anything back. Tried to call them and was on the line for 15 minutes after which I gave up.

 If it is this difficult to contact them when trying to open an account, I don’t want to know how difficult it would be to get in contact with them when you have issues as a client.",2022-06-27,BE,Negative,The customer had difficulty getting in touch with the company and felt frustrated by the lack of response.,Negative
Konstantin Kletenkov,1,en,Simply racist and hypocritical,"Do you want to be racially discriminated as a customer? Keytrade Bank is your choice! Do you want to be lied to your face and ignored in service-related questions? Think no more, Keytrade Bank is your choice! Awful and disgusting, I want to take a shower after every time communicating with them. In my case, Keytrade Bank support openly told me I was born in the wrong place to have an account in their bank.",2022-05-26,BE,Negative,"The customer is highly dissatisfied with Keytrade Bank due to repeated negative experiences, including racial discrimination and poor service. They express a strong desire for change and are so unhappy that they prefer not to engage further.",Negative
Ch Mrt,1,en,KEYTRADE BANK is a bad joke,"My first negative review. 

As a medical doctor, student and soldier that collaborated with several international banking institutions within 4 EU states; I urge you to avoid at all costs  « KEYTRADE BANK » !

A polite uncoordinated staff with BS feedbacks, giving fake expectations defines my brief experience with their customer service. 
The supposedly straight to the point online application became a bad joke !

And on the contrary I got to appreciate their selection of MOH.
 
Conclusion: 
Here is the Middle Office final response  after 34 days of « processing » my application.

« Dear Sir,

After a complete analysis of your request, we regret to inform you that we are unable to open this account. Your application did not meet the necessary requirements.
As stated in our General Terms and Conditions*, we are not obliged to justify our decision.

Yours sincerely,

Middle Office » - KEYTRADE BANK (03/05/2022).",2022-05-04,BE,Negative,"The customer wrote a negative review due to dissatisfaction with the service, particularly the staff behavior and application experience. They mention BS feedback and fake expectations from the company. However, they also note appreciation for the selection of MOH.",Negative
Martin Gajda,1,en,Tragic customer service,"Tragic customer service, they just ignore their customers. Is this really a bank?",2022-03-05,BE,Negative,"The customer is expressing dissatisfaction with the customer service, describing it as ""tragic."" They question whether a bank would provide such an inadequate support system.",Negative
Justin,1,en,As a long time customer this really…,"As a long time customer this really pains me to write, but they have totally gone downhill. I have been trying since November 2021 to get assistance, but none has been forthcoming. Having written emails over and over again asking for an update, phoned multiple times with getting cut off, I think it is time to move on. It's a pity as I have been with them since 2015.",2022-02-17,IE,Negative,The customer is highly dissatisfied with recent experiences and plans to leave due to ongoing issues with service.,Negative
daniel,1,en,no customer service,"no customer services and no credit card insurance. Since 4months I am trying to settle a credit card dispute, but after sending all documents for 5times and after receiving each time a confirmation mail from them they now ask to send the concerned documents a sixt time !!! When trying to call them on phone it mostly takes around 45min to talk to someone and mails simply remain unanswered for weeks . just nothing happens",2022-02-13,FR,Negative,"The customer is dissatisfied with their experience due to lack of customer services and credit card insurance. They have been trying to resolve a dispute for over four months, and despite multiple attempts at communication, they are still facing delays and unanswered issues, including the frustration of having to resend documents repeatedly.",Negative
Laurent Nula,1,en,bad experience,"bad experience, I wanted to open an account for my mother with a promo code, but 1 month later the account is still not opened ! and promo code timing is now passed... their promos code is just like a scam and a deception to attract  new customers",2021-10-10,BE,Negative,"The customer experienced a bad experience as their account was not opened after applying a promo code, and they viewed the company's promotion as deceptive.",Negative
